model_family,hyperparam_group,best_iteration,params,train_MSE,train_RMSE,train_MAE,train_MAPE,train_MSLE,train_R2,train_WMAPE,train_WMAE,test_MSE,test_RMSE,test_MAE,test_MAPE,test_MSLE,test_R2,test_WMAPE,test_WMAE
catboost,basic,200,"{'verbose': False, 'iterations': 200, 'learning_rate': 0.05}",0.0027708074215279568,0.052638459528447035,0.033050380415899853,0.04190116405019199,0.0008230751579231183,0.5365476611905445,0.04538383667381871,0.03666881920659193,0.004272037114623202,0.06536082247511274,0.04206190873108215,0.05382298634901542,0.0012901897339570323,0.15563987155180337,0.05809094249324256,0.046472160399446655
catboost,medium,998,"{'verbose': False, 'iterations': 1000, 'learning_rate': 0.02}",0.00178064992101458,0.04219774781922111,0.027627185738644137,0.03534014292583477,0.0005292354998807974,0.7021639381779919,0.037936860923896906,0.03033423239573786,0.0038914884248636757,0.062381795620707135,0.04263106785561651,0.05523125978836313,0.0011808148308334683,0.23085460680451597,0.058876997880890666,0.046468734663036824
catboost,high,2340,"{'verbose': False, 'iterations': 10000, 'learning_rate': 0.01}",0.001830620898658774,0.042785755791603985,0.027939558293146136,0.035766770039020714,0.0005445602874459065,0.6938056645997346,0.038365801977419026,0.030651978140271686,0.003811881111721645,0.06174043336195208,0.04250301053256187,0.05515869613277565,0.001157156919236944,0.24658884303573592,0.05870014022478748,0.04624145683337705
xgboost,basic,199,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 1.0, 'min_child_weight': 1.0}",7.804269248622125e-07,0.000883417752177424,0.0006287752937626175,0.0008549769646511679,2.472006674503347e-07,0.99986946379572,0.000863416241433845,0.0006441150604056025,0.002212189363014955,0.04703391715576064,0.026119908273696896,0.03524971613524499,0.0006900292302844533,0.5627649187987471,0.03607373358058875,0.027162580930547114
xgboost,medium,921,"{'n_estimators': 1000, 'learning_rate': 0.02, 'max_depth': 6, 'subsample': 0.85, 'colsample_bytree': 0.85, 'reg_lambda': 1.0, 'min_child_weight': 1.0}",4.0013753997836043e-07,0.0006325642575883974,0.00047072031175767853,0.0006437577874327863,1.2930539939942696e-07,0.9999330719712574,0.0006463796627763523,0.000478748118963559,0.002296331808736552,0.04792005643503096,0.02713613564109802,0.03646800389885614,0.0007142492742272377,0.5461343221135637,0.037477226844225026,0.028366211302302054
xgboost,high,2658,"{'n_estimators': 10000, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 2.0, 'min_child_weight': 2.0}",3.9034673079696017e-07,0.0006247773449773609,0.0004553110393317971,0.0006146782829398012,1.2357365800497361e-07,0.9999347096070521,0.0006252200908065803,0.0004703415277106559,0.0021474683160219014,0.04634078458573939,0.0273608498840332,0.0368361484506932,0.0006688165275117185,0.5755569124275703,0.03778757562671178,0.02853508722759592
