model_family,hyperparam_group,best_iteration,params,train_MSE,train_RMSE,train_MAE,train_MAPE,train_MSLE,train_R2,train_WMAPE,train_WMAE,test_MSE,test_RMSE,test_MAE,test_MAPE,test_MSLE,test_R2,test_WMAPE,test_WMAE
catboost,basic,200,"{'verbose': False, 'iterations': 200, 'learning_rate': 0.05}",0.0003345899591161063,0.018291800324629237,0.014283021982751795,0.01735967722619636,0.00010145107775197856,0.8968339946672407,0.01705098189665738,0.01410785742065648,0.0003776563613525968,0.019433382653377584,0.015168299325198123,0.0184589471104544,0.00011443316923171651,0.8759780199843101,0.01813380866974498,0.01497676142722566
catboost,medium,706,"{'verbose': False, 'iterations': 1000, 'learning_rate': 0.02}",0.0002758473476194527,0.016608652793632984,0.013075637288385204,0.015858395128779353,8.34585476559599e-05,0.9149464347026005,0.015609613635038308,0.012941655304281678,0.00035807965539950856,0.018922992770687954,0.014877074063740791,0.0181017558782831,0.00010853853476863901,0.8824069910885995,0.017785646818647364,0.014692758377951663
catboost,high,1495,"{'verbose': False, 'iterations': 10000, 'learning_rate': 0.01}",0.00027141246062227145,0.016474600469276075,0.012965197582311464,0.0157217563812793,8.210379597271562e-05,0.9163138683721883,0.015477771407867507,0.012834113218464926,0.00036097191270304137,0.018999260846228765,0.014933791195014715,0.01815914259689465,0.0001094523692272879,0.8814571766164846,0.017853452548529658,0.014756876442764537
xgboost,basic,73,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 6, 'subsample': 0.9, 'colsample_bytree': 0.9, 'reg_lambda': 1.0, 'min_child_weight': 1.0}",0.00012828499995186092,0.011326296833116326,0.008812325228882662,0.01062478594611539,3.846994827131669e-05,0.9604451639131402,0.010520098486621962,0.00877251275051364,0.00036102379321301386,0.01900062612686787,0.014850070178285522,0.01807827099093208,0.00010966711543903475,0.8814401391077082,0.0177533634834041,0.014662600584154016
xgboost,medium,199,"{'n_estimators': 1000, 'learning_rate': 0.02, 'max_depth': 6, 'subsample': 0.85, 'colsample_bytree': 0.85, 'reg_lambda': 1.0, 'min_child_weight': 1.0}",0.00012731496658331898,0.011283393398411622,0.008785391310327255,0.010602211051665937,3.820569467941822e-05,0.9607442597614924,0.010487944943887878,0.008737550211595798,0.00035767497085495615,0.018912296815959614,0.014736541094047748,0.017937459720780823,0.00010871569062720074,0.8825398890975656,0.0176176386636414,0.014553371548654895
xgboost,high,442,"{'n_estimators': 10000, 'learning_rate': 0.01, 'max_depth': 6, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_lambda': 2.0, 'min_child_weight': 2.0}",0.00013510948214974213,0.011623660445390777,0.009015792314846626,0.010899553009539922,4.069274634013493e-05,0.9583409329054917,0.010762996215374793,0.00895318487302343,0.0003660801545518261,0.019133221227797113,0.01493257059961669,0.01817894498367238,0.00011135424634897595,0.8797796349852084,0.017851993318134973,0.014743599287438578
